Age_Group,Income_Level,Nationality,Luxury_Interest,Shopping_Frequency,Preferred_Category,Color_Preference,Digital_Engagement,Influenced_By_AI,Max_Spend,Will_Buy
46+,Medium,Other,Low,Rare,Jewelry,Black,Low,No,16891,No
18-25,Medium,Other,High,Occasional,Watches,Silver,Medium,No,16600,No
18-25,High,Expat - Indian,Medium,Frequent,Watches,White,Medium,Yes,33458,No
46+,Low,Emirati,Medium,Frequent,Fashion,Black,Medium,Yes,9645,No
36-45,Ultra High,Expat - Western,Medium,Occasional,Jewelry,Silver,High,Yes,42578,No
26-35,Ultra High,Expat - Indian,High,Frequent,Jewelry,Black,Low,Yes,42596,Yes
46+,Medium,Emirati,Medium,Rare,Real Estate,White,Medium,Yes,5874,No
18-25,Low,Other,Medium,Rare,Real Estate,Gold,Medium,No,14767,No
36-45,Medium,Emirati,High,Occasional,Real Estate,White,Medium,No,27825,Yes
46+,Low,Emirati,High,Occasional,Fashion,Bold Colors,High,Yes,11913,No
46+,Low,Emirati,High,Occasional,Watches,Silver,Medium,No,17215,No
36-45,Low,Expat - Western,Medium,Frequent,Jewelry,White,Low,Yes,19733,No
46+,Medium,Emirati,Medium,Frequent,Jewelry,Gold,Low,Yes,15332,No
36-45,High,Expat - Western,High,Rare,Watches,Black,Low,Yes,5432,Yes
26-35,High,Other,Medium,Frequent,Jewelry,Silver,Low,Yes,23559,No
36-45,High,Expat - Western,High,Rare,Watches,White,Medium,Yes,27570,Yes
36-45,Medium,Other,Medium,Frequent,Fashion,Gold,High,Yes,41033,No
36-45,Medium,Other,Medium,Rare,Fashion,White,High,Yes,7103,No
46+,Medium,Expat - Western,Low,Occasional,Fashion,Bold Colors,High,Yes,44780,No
46+,Ultra High,Expat - Indian,Medium,Frequent,Watches,Silver,Medium,No,16900,No
36-45,Low,Expat - Arab,Low,Rare,Watches,Black,High,No,3031,No
46+,High,Emirati,Low,Frequent,Automobiles,Gold,Low,Yes,18633,No
18-25,Medium,Expat - Arab,High,Occasional,Jewelry,White,Medium,Yes,24192,No
18-25,Medium,Emirati,Medium,Rare,Jewelry,Silver,High,Yes,20940,No
46+,High,Emirati,Medium,Frequent,Automobiles,White,Low,No,42287,No
46+,Medium,Other,High,Frequent,Automobiles,Silver,Low,Yes,9988,No
36-45,High,Emirati,Medium,Occasional,Fashion,Bold Colors,Medium,Yes,39067,No
26-35,Ultra High,Emirati,Low,Occasional,Automobiles,White,Medium,Yes,13952,No
46+,Medium,Expat - Western,High,Rare,Watches,Bold Colors,High,Yes,28369,No
18-25,Low,Expat - Arab,Medium,Frequent,Real Estate,Gold,High,Yes,36862,No
36-45,Medium,Expat - Western,High,Frequent,Watches,Bold Colors,High,No,3977,No
46+,Ultra High,Emirati,High,Occasional,Automobiles,Silver,Medium,No,39493,No
18-25,Low,Other,High,Occasional,Jewelry,Gold,High,Yes,2268,No
18-25,Medium,Expat - Western,Medium,Rare,Watches,White,High,Yes,49929,No
26-35,Medium,Expat - Western,Medium,Frequent,Jewelry,White,Low,Yes,17756,No
36-45,High,Expat - Indian,Medium,Frequent,Watches,Silver,Low,Yes,21764,No
36-45,Low,Emirati,Low,Rare,Jewelry,Black,Low,No,41385,No
26-35,High,Other,High,Rare,Watches,Black,High,Yes,16032,Yes
26-35,Ultra High,Expat - Western,Low,Occasional,Jewelry,White,Medium,Yes,30478,No
36-45,Low,Expat - Western,Medium,Occasional,Real Estate,Silver,Low,Yes,46702,No
36-45,Low,Other,High,Rare,Fashion,Black,Medium,No,12885,No
46+,Ultra High,Emirati,Medium,Rare,Watches,Bold Colors,High,No,10796,No
46+,Low,Expat - Indian,Medium,Frequent,Real Estate,White,High,Yes,40047,No
26-35,High,Expat - Western,Medium,Rare,Fashion,Bold Colors,Low,Yes,33863,No
46+,Medium,Expat - Indian,High,Rare,Watches,Silver,Medium,Yes,16478,No
18-25,Low,Expat - Arab,Medium,Frequent,Real Estate,Bold Colors,Low,No,33117,No
46+,High,Emirati,High,Rare,Real Estate,Black,High,Yes,21753,Yes
46+,Medium,Expat - Arab,Low,Occasional,Real Estate,Black,Medium,Yes,21325,No
18-25,Medium,Expat - Arab,High,Occasional,Automobiles,Gold,Low,Yes,8021,No
26-35,Medium,Expat - Arab,High,Frequent,Jewelry,White,High,No,16185,No
18-25,Medium,Emirati,Low,Rare,Fashion,Silver,Low,Yes,6868,No
46+,Low,Emirati,Medium,Occasional,Jewelry,White,Medium,Yes,14071,No
26-35,Medium,Other,Low,Occasional,Jewelry,Bold Colors,Medium,Yes,9041,No
46+,Ultra High,Expat - Indian,High,Occasional,Jewelry,Silver,Medium,No,17515,No
18-25,Low,Expat - Indian,Medium,Occasional,Real Estate,Silver,Medium,No,45075,No
18-25,Medium,Other,Medium,Rare,Jewelry,Black,Medium,No,41058,No
46+,Medium,Other,Low,Rare,Automobiles,Bold Colors,Low,Yes,49263,No
36-45,High,Expat - Arab,Medium,Rare,Watches,Black,Low,Yes,26966,No
36-45,Low,Other,Low,Rare,Real Estate,Black,Low,No,40284,No
18-25,Ultra High,Expat - Western,Medium,Occasional,Fashion,Gold,Low,Yes,43109,No
18-25,Medium,Expat - Indian,Medium,Frequent,Watches,Black,High,No,45470,No
36-45,Low,Other,High,Frequent,Watches,White,High,No,23290,No
36-45,Low,Expat - Western,Medium,Occasional,Watches,Silver,Low,Yes,31702,No
46+,Low,Expat - Western,Medium,Occasional,Jewelry,Black,High,Yes,29223,No
46+,Medium,Expat - Western,High,Frequent,Jewelry,White,High,No,34575,No
36-45,Medium,Expat - Western,High,Frequent,Real Estate,Bold Colors,Medium,No,46799,No
46+,High,Expat - Arab,High,Occasional,Jewelry,Silver,Low,Yes,45168,Yes
46+,Medium,Expat - Western,Medium,Occasional,Jewelry,Bold Colors,High,Yes,22661,No
26-35,Low,Expat - Arab,Medium,Rare,Jewelry,White,High,Yes,17439,Yes
46+,Medium,Expat - Arab,Low,Rare,Real Estate,Bold Colors,Low,Yes,37432,No
18-25,High,Expat - Western,High,Frequent,Real Estate,Bold Colors,Medium,Yes,34511,Yes
46+,Low,Expat - Indian,Low,Occasional,Automobiles,Bold Colors,Low,Yes,32147,No
46+,Low,Expat - Western,Medium,Frequent,Automobiles,Black,Medium,No,30114,Yes
36-45,Low,Expat - Western,Medium,Rare,Automobiles,Black,High,No,7030,No
18-25,High,Expat - Western,Medium,Rare,Automobiles,Black,Medium,No,25515,No
46+,Medium,Expat - Indian,Medium,Frequent,Watches,Silver,Medium,Yes,48429,No
46+,Medium,Emirati,Low,Rare,Watches,White,Low,Yes,48743,No
26-35,High,Emirati,Medium,Occasional,Automobiles,Black,High,No,31333,No
46+,High,Expat - Arab,Medium,Frequent,Automobiles,Bold Colors,Low,Yes,1079,No
46+,Medium,Expat - Arab,High,Occasional,Fashion,Bold Colors,Low,Yes,48577,No
26-35,High,Expat - Indian,High,Occasional,Watches,Bold Colors,High,Yes,30048,Yes
36-45,Low,Other,High,Rare,Fashion,Bold Colors,Low,No,45900,No
46+,Low,Emirati,High,Occasional,Fashion,Gold,Low,No,3966,No
26-35,Low,Expat - Arab,Medium,Frequent,Jewelry,Silver,Medium,Yes,49302,No
18-25,Low,Emirati,Low,Occasional,Real Estate,White,Low,No,4728,No
36-45,Medium,Expat - Indian,Medium,Occasional,Watches,White,High,Yes,38304,No
18-25,Ultra High,Expat - Indian,Medium,Occasional,Automobiles,Black,Low,Yes,39581,No
18-25,Low,Other,Medium,Occasional,Automobiles,Gold,Medium,No,25794,No
26-35,Low,Other,Medium,Occasional,Real Estate,White,Low,No,1947,No
46+,Medium,Expat - Indian,Medium,Rare,Watches,Silver,Low,Yes,13565,No
26-35,Ultra High,Expat - Arab,Medium,Frequent,Automobiles,Bold Colors,Low,Yes,16844,No
26-35,Medium,Emirati,Medium,Rare,Automobiles,Black,Medium,No,1594,No
26-35,Medium,Expat - Western,Low,Frequent,Jewelry,Silver,High,No,22414,No
26-35,Low,Other,High,Frequent,Fashion,White,High,No,31690,No
36-45,Low,Expat - Western,Low,Frequent,Automobiles,Gold,Medium,Yes,17524,Yes
46+,Ultra High,Expat - Arab,Low,Frequent,Watches,Black,Medium,No,28469,No
18-25,Ultra High,Other,Medium,Frequent,Real Estate,White,Low,No,20439,No
18-25,Low,Expat - Western,Medium,Occasional,Jewelry,Black,High,Yes,27206,No
46+,Ultra High,Expat - Arab,Medium,Rare,Watches,White,Medium,No,47785,No
18-25,Medium,Emirati,Medium,Rare,Jewelry,Bold Colors,High,Yes,37973,No
46+,High,Expat - Arab,Medium,Occasional,Fashion,Gold,Low,Yes,22555,No
18-25,Medium,Other,Medium,Frequent,Automobiles,Bold Colors,Medium,No,8782,No
26-35,Medium,Expat - Indian,High,Rare,Watches,White,High,Yes,3660,No
18-25,Medium,Emirati,High,Occasional,Real Estate,Silver,High,Yes,49781,No
46+,Medium,Expat - Western,Medium,Occasional,Fashion,Bold Colors,Low,No,40624,No
46+,Low,Other,Medium,Rare,Fashion,Silver,Medium,Yes,7089,No
46+,Low,Expat - Indian,High,Rare,Jewelry,White,High,Yes,6318,No
46+,Medium,Expat - Arab,Low,Frequent,Fashion,Gold,Low,No,27605,No
46+,High,Expat - Indian,Medium,Frequent,Watches,Silver,High,Yes,30400,No
36-45,Low,Other,Medium,Rare,Jewelry,White,Low,Yes,16405,No
36-45,Medium,Other,High,Frequent,Fashion,Silver,High,Yes,31209,No
18-25,Ultra High,Expat - Indian,Low,Occasional,Real Estate,Bold Colors,High,Yes,9062,No
46+,Low,Expat - Arab,Medium,Frequent,Watches,White,Low,No,18424,No
18-25,Medium,Expat - Indian,High,Frequent,Real Estate,Bold Colors,Medium,No,42274,No
46+,Medium,Other,Medium,Occasional,Real Estate,Black,Low,Yes,24987,No
46+,High,Other,Low,Frequent,Jewelry,White,Medium,No,45419,No
36-45,Low,Expat - Western,High,Occasional,Automobiles,Silver,High,Yes,21556,No
36-45,Medium,Expat - Western,Medium,Frequent,Jewelry,Black,High,Yes,28601,No
26-35,High,Emirati,Medium,Rare,Watches,Bold Colors,Low,No,20330,No
36-45,Ultra High,Other,Medium,Frequent,Watches,Bold Colors,Low,No,16730,No
26-35,Medium,Expat - Western,Medium,Rare,Jewelry,Silver,Medium,Yes,4236,No
26-35,Medium,Expat - Indian,Medium,Rare,Automobiles,Black,Medium,Yes,4680,No
26-35,Medium,Expat - Arab,Low,Rare,Jewelry,Gold,Medium,Yes,31312,No
26-35,High,Expat - Indian,Low,Rare,Watches,Silver,Low,Yes,49151,No
26-35,Medium,Expat - Arab,High,Rare,Automobiles,Bold Colors,High,Yes,22191,No
18-25,Low,Expat - Western,Medium,Occasional,Watches,White,Low,No,45066,No
36-45,Ultra High,Emirati,Low,Occasional,Automobiles,Black,High,Yes,18921,No
26-35,Medium,Expat - Indian,Medium,Occasional,Automobiles,Gold,Low,No,37640,No
46+,Medium,Expat - Indian,High,Rare,Jewelry,White,Low,Yes,35635,No
36-45,Low,Expat - Indian,Low,Frequent,Jewelry,Black,Medium,Yes,49588,No
36-45,Medium,Expat - Arab,Medium,Occasional,Jewelry,Silver,High,Yes,37688,No
26-35,Medium,Expat - Western,Low,Frequent,Automobiles,Silver,Low,Yes,6693,No
18-25,Medium,Expat - Indian,Low,Frequent,Automobiles,Black,Low,No,21266,No
26-35,Low,Expat - Indian,Low,Rare,Watches,Gold,High,Yes,44716,No
18-25,Medium,Emirati,High,Rare,Real Estate,Black,Low,Yes,27488,No
46+,Ultra High,Emirati,Low,Rare,Jewelry,White,High,No,25122,No
36-45,Low,Expat - Western,Low,Occasional,Watches,White,Medium,No,42224,No
46+,Ultra High,Expat - Western,Medium,Rare,Watches,Silver,Medium,Yes,30004,No
18-25,Medium,Other,High,Occasional,Fashion,Black,High,Yes,7331,No
18-25,High,Emirati,Medium,Occasional,Jewelry,Silver,Medium,No,22566,No
46+,High,Other,Medium,Occasional,Watches,Gold,High,No,46875,No
18-25,Medium,Expat - Arab,Low,Occasional,Fashion,White,Low,No,43262,Yes
46+,High,Other,Medium,Rare,Jewelry,Bold Colors,Low,Yes,47621,No
36-45,High,Expat - Indian,Medium,Occasional,Automobiles,Bold Colors,High,No,43154,No
46+,Medium,Other,Medium,Rare,Fashion,Black,Low,Yes,41899,No
36-45,Medium,Expat - Western,Medium,Rare,Automobiles,Black,Medium,Yes,45564,No
46+,Medium,Expat - Arab,Medium,Occasional,Real Estate,Bold Colors,Low,No,21778,No
18-25,High,Expat - Indian,Low,Rare,Real Estate,Black,Low,Yes,34926,No
46+,High,Other,Medium,Frequent,Real Estate,White,High,Yes,21751,No
18-25,High,Expat - Arab,Low,Rare,Real Estate,Gold,Medium,Yes,18528,No
46+,Medium,Expat - Arab,High,Rare,Watches,Gold,Low,Yes,1068,No
46+,High,Expat - Indian,High,Occasional,Real Estate,Silver,Low,No,4717,No
26-35,Low,Other,High,Occasional,Watches,White,High,No,16218,No
18-25,Medium,Expat - Arab,High,Rare,Watches,Black,High,Yes,44968,No
26-35,Low,Expat - Arab,Medium,Occasional,Jewelry,Black,Medium,Yes,26402,No
18-25,Medium,Emirati,High,Frequent,Watches,Silver,Low,No,49623,No
26-35,Medium,Expat - Arab,Medium,Frequent,Watches,Silver,High,No,32643,No
36-45,Medium,Emirati,Medium,Occasional,Real Estate,Black,High,Yes,43129,No
46+,Medium,Other,Medium,Rare,Watches,Black,High,No,49460,No
18-25,Medium,Other,Medium,Frequent,Automobiles,White,Medium,No,30152,No
18-25,Medium,Other,High,Frequent,Real Estate,Silver,High,Yes,12526,No
46+,Low,Expat - Western,Medium,Rare,Fashion,White,Medium,Yes,27916,Yes
18-25,Medium,Other,Medium,Occasional,Real Estate,Black,Medium,Yes,43975,No
18-25,Low,Expat - Arab,High,Frequent,Watches,Bold Colors,Low,No,27028,No
26-35,Low,Expat - Indian,Low,Rare,Automobiles,Bold Colors,Low,Yes,27709,Yes
18-25,Medium,Emirati,Medium,Rare,Real Estate,Black,Medium,Yes,42999,No
36-45,Medium,Expat - Western,High,Frequent,Automobiles,Silver,Low,Yes,16063,No
36-45,Medium,Other,Medium,Occasional,Fashion,Bold Colors,Low,No,5723,No
46+,Medium,Other,Medium,Frequent,Fashion,Silver,High,Yes,5213,No
18-25,Medium,Expat - Indian,Medium,Rare,Jewelry,Bold Colors,Low,No,23797,Yes
46+,High,Expat - Indian,Medium,Frequent,Jewelry,Silver,Medium,No,37234,No
36-45,Medium,Expat - Western,High,Occasional,Real Estate,Bold Colors,Low,Yes,20410,No
18-25,Medium,Emirati,Medium,Rare,Jewelry,Silver,High,Yes,24382,No
18-25,Low,Other,Medium,Occasional,Automobiles,White,Medium,Yes,46217,No
46+,Medium,Expat - Western,Low,Frequent,Jewelry,Silver,Low,No,3747,Yes
36-45,Medium,Expat - Arab,Low,Frequent,Automobiles,White,Medium,Yes,24655,No
18-25,Medium,Expat - Arab,High,Occasional,Jewelry,White,Low,Yes,31348,No
46+,Medium,Expat - Western,Medium,Frequent,Jewelry,Black,High,Yes,13454,No
36-45,Medium,Other,Medium,Occasional,Jewelry,White,Low,Yes,13587,No
46+,Medium,Expat - Western,Low,Frequent,Watches,Gold,Medium,No,23555,No
26-35,High,Other,Medium,Occasional,Watches,White,Medium,No,29071,No
18-25,High,Expat - Indian,High,Occasional,Jewelry,Silver,Medium,No,21239,No
26-35,High,Expat - Western,Medium,Rare,Automobiles,White,Low,Yes,32602,No
36-45,Ultra High,Other,Low,Rare,Real Estate,Silver,Low,Yes,3203,No
26-35,Low,Expat - Western,Medium,Occasional,Fashion,Silver,Low,No,14635,No
26-35,Low,Expat - Western,High,Frequent,Watches,Gold,High,Yes,2144,No
36-45,Low,Other,Medium,Frequent,Jewelry,White,High,No,33699,No
46+,Medium,Other,High,Frequent,Fashion,White,High,Yes,20083,Yes
26-35,High,Emirati,Medium,Occasional,Watches,Bold Colors,Medium,Yes,27127,No
46+,Low,Expat - Western,High,Occasional,Real Estate,Bold Colors,Medium,No,13213,No
26-35,Ultra High,Expat - Arab,Medium,Occasional,Automobiles,Black,Medium,No,17944,No
46+,Low,Expat - Western,Low,Occasional,Jewelry,Silver,Medium,No,2187,No
36-45,Ultra High,Expat - Western,Medium,Rare,Real Estate,Gold,Medium,Yes,4133,No
26-35,Medium,Other,Medium,Occasional,Watches,Bold Colors,Low,Yes,4411,No
36-45,Low,Expat - Western,High,Frequent,Jewelry,White,Medium,Yes,35457,No
26-35,Medium,Expat - Western,High,Rare,Fashion,Black,Low,No,38175,No
36-45,Low,Expat - Arab,Medium,Frequent,Automobiles,Gold,High,No,36191,No
36-45,Low,Other,Medium,Occasional,Watches,White,High,Yes,7728,No
26-35,Medium,Expat - Western,Low,Rare,Automobiles,White,High,No,34744,No
26-35,High,Expat - Indian,High,Occasional,Jewelry,Silver,High,No,23881,No
26-35,Medium,Emirati,Medium,Rare,Real Estate,Silver,High,No,13801,No
18-25,Medium,Expat - Arab,Medium,Frequent,Automobiles,Bold Colors,Medium,Yes,11548,No
46+,Medium,Expat - Western,Medium,Occasional,Fashion,Bold Colors,Medium,Yes,33886,No
18-25,High,Expat - Indian,Low,Occasional,Watches,White,Medium,No,35310,Yes
18-25,Low,Expat - Western,Medium,Rare,Fashion,White,High,Yes,20427,No
36-45,Medium,Expat - Western,Medium,Rare,Automobiles,Bold Colors,High,No,1972,No
26-35,Low,Other,Low,Occasional,Real Estate,Bold Colors,Low,No,34683,No
46+,Low,Other,High,Rare,Real Estate,White,Medium,No,7621,No
36-45,Medium,Other,Medium,Occasional,Fashion,Gold,High,Yes,27013,No
18-25,Low,Expat - Indian,Low,Rare,Jewelry,White,High,Yes,15530,No
26-35,Medium,Expat - Western,Medium,Frequent,Jewelry,Gold,High,Yes,8354,No
36-45,High,Emirati,High,Rare,Real Estate,Gold,Low,Yes,47529,Yes
26-35,Low,Expat - Arab,Medium,Frequent,Fashion,White,High,Yes,38359,No
36-45,Medium,Other,Medium,Rare,Fashion,Black,Low,Yes,24223,No
26-35,Low,Other,Low,Rare,Fashion,Bold Colors,Low,Yes,42232,No
18-25,Ultra High,Expat - Western,Low,Occasional,Automobiles,Silver,Medium,Yes,13550,No
46+,Medium,Expat - Western,Medium,Rare,Jewelry,White,High,Yes,23660,No
18-25,High,Expat - Indian,High,Rare,Jewelry,Gold,Low,Yes,32029,Yes
46+,Medium,Expat - Indian,High,Frequent,Automobiles,White,High,Yes,31268,No
26-35,Low,Other,Low,Rare,Watches,Bold Colors,Medium,No,48119,No
36-45,Medium,Expat - Western,Medium,Occasional,Automobiles,Gold,Medium,Yes,27340,No
18-25,Ultra High,Emirati,High,Frequent,Fashion,Silver,Low,Yes,5290,Yes
46+,Medium,Expat - Arab,Medium,Occasional,Automobiles,Silver,Medium,No,31138,No
18-25,High,Expat - Western,High,Occasional,Fashion,Silver,Medium,No,7446,No
46+,High,Expat - Western,Low,Occasional,Real Estate,Black,Medium,Yes,14432,No
18-25,Low,Expat - Indian,High,Occasional,Fashion,Gold,High,No,2522,No
46+,Low,Expat - Arab,High,Frequent,Jewelry,Gold,High,No,34329,No
46+,Medium,Other,High,Rare,Automobiles,Black,Low,No,4540,No
26-35,Medium,Expat - Western,Medium,Occasional,Fashion,Gold,Low,Yes,13328,No
46+,High,Other,Medium,Frequent,Watches,Black,Medium,No,35247,No
26-35,Ultra High,Expat - Western,High,Occasional,Real Estate,White,Medium,Yes,7677,Yes
46+,Medium,Other,Medium,Rare,Watches,Bold Colors,Low,Yes,42616,No
36-45,Low,Expat - Arab,Medium,Frequent,Watches,Silver,Medium,No,26947,Yes
36-45,High,Expat - Indian,High,Frequent,Watches,Black,Low,Yes,46534,Yes
36-45,Low,Expat - Arab,High,Rare,Real Estate,Black,High,No,14520,No
46+,High,Emirati,High,Frequent,Real Estate,Black,Medium,Yes,45711,Yes
26-35,Medium,Expat - Indian,Medium,Rare,Real Estate,White,Medium,No,23805,No
26-35,Medium,Expat - Arab,High,Frequent,Real Estate,Black,Medium,Yes,31444,No
46+,Low,Emirati,High,Frequent,Watches,Bold Colors,High,Yes,21143,No
36-45,Medium,Expat - Western,Low,Rare,Jewelry,Bold Colors,High,Yes,11292,No
36-45,Medium,Expat - Western,Medium,Rare,Jewelry,Silver,Medium,Yes,43844,No
26-35,Medium,Other,Medium,Frequent,Real Estate,White,Low,Yes,17017,No
36-45,Low,Expat - Indian,Medium,Frequent,Automobiles,Bold Colors,High,No,26323,No
18-25,High,Expat - Western,High,Rare,Fashion,Gold,Medium,Yes,42423,Yes
26-35,High,Expat - Indian,Medium,Rare,Automobiles,Gold,Medium,No,42713,Yes
36-45,Low,Expat - Western,High,Frequent,Automobiles,Gold,High,Yes,23320,No
26-35,Low,Other,High,Frequent,Automobiles,Black,Low,Yes,9774,No
18-25,Low,Expat - Arab,Medium,Frequent,Jewelry,Black,Medium,No,3205,No
26-35,Medium,Other,High,Rare,Fashion,Gold,Low,Yes,13342,No
26-35,Medium,Emirati,Medium,Frequent,Automobiles,Silver,Low,No,5027,No
26-35,Medium,Expat - Western,High,Occasional,Real Estate,Silver,High,No,17327,No
26-35,Low,Emirati,Low,Rare,Jewelry,Black,Medium,Yes,22200,No
18-25,Medium,Emirati,High,Frequent,Real Estate,Gold,Medium,No,8188,No
46+,Medium,Expat - Indian,Medium,Rare,Real Estate,Silver,Low,No,3808,No
26-35,Medium,Expat - Western,Medium,Occasional,Automobiles,Black,High,Yes,14851,No
26-35,Ultra High,Emirati,High,Rare,Real Estate,Gold,High,No,16354,No
36-45,Low,Expat - Arab,Medium,Frequent,Fashion,White,High,Yes,16058,No
26-35,Medium,Emirati,Medium,Occasional,Real Estate,Gold,Low,Yes,15620,No
36-45,Medium,Expat - Arab,Medium,Occasional,Automobiles,Gold,Low,No,32230,No
46+,Medium,Expat - Indian,High,Frequent,Real Estate,Bold Colors,Medium,No,37681,No
18-25,High,Emirati,Medium,Frequent,Jewelry,Bold Colors,High,No,18803,No
18-25,Medium,Other,Low,Frequent,Jewelry,White,Low,No,3167,No
46+,Ultra High,Expat - Indian,Medium,Rare,Jewelry,White,High,No,3144,No
18-25,Low,Expat - Arab,Medium,Rare,Watches,Gold,Low,No,3167,No
46+,Low,Expat - Indian,Low,Rare,Jewelry,Silver,Medium,Yes,43520,No
46+,High,Emirati,Medium,Frequent,Jewelry,White,High,Yes,43136,No
46+,Medium,Expat - Western,Medium,Frequent,Watches,Gold,Low,Yes,26844,No
18-25,Low,Expat - Western,Low,Rare,Jewelry,Black,High,No,29163,No
36-45,Low,Expat - Arab,Medium,Occasional,Automobiles,Bold Colors,Low,Yes,23920,No
46+,Low,Expat - Arab,High,Rare,Jewelry,Silver,Low,Yes,18550,No
26-35,High,Expat - Western,Low,Occasional,Jewelry,Gold,Low,Yes,37343,No
18-25,Low,Expat - Arab,Medium,Frequent,Watches,Black,High,No,19254,Yes
46+,Medium,Expat - Indian,Medium,Frequent,Automobiles,Bold Colors,Low,No,41011,No
46+,Low,Other,Medium,Rare,Real Estate,Black,Medium,Yes,21147,No
26-35,Medium,Other,High,Rare,Fashion,Gold,High,Yes,13926,No
36-45,Low,Expat - Indian,Medium,Frequent,Automobiles,White,Medium,Yes,34823,No
36-45,Medium,Other,Medium,Rare,Real Estate,Bold Colors,Medium,Yes,24991,No
36-45,Low,Emirati,Low,Frequent,Automobiles,Black,High,Yes,42851,No
46+,High,Expat - Indian,Medium,Frequent,Real Estate,White,Low,No,28563,No
46+,Low,Expat - Arab,Medium,Occasional,Real Estate,Silver,Medium,No,31688,No
46+,Medium,Expat - Indian,Low,Rare,Automobiles,Gold,High,Yes,30023,No
18-25,High,Expat - Western,Medium,Frequent,Watches,Gold,Low,Yes,35130,No
26-35,Medium,Expat - Arab,High,Rare,Automobiles,Bold Colors,High,Yes,1925,No
46+,Medium,Expat - Western,Medium,Occasional,Automobiles,Black,High,Yes,17321,No
26-35,Medium,Expat - Arab,Medium,Occasional,Real Estate,Silver,High,Yes,11769,No
26-35,Medium,Other,High,Rare,Fashion,Bold Colors,Low,Yes,37748,No
36-45,Medium,Expat - Indian,High,Rare,Real Estate,Bold Colors,Medium,Yes,41028,No
18-25,Ultra High,Emirati,Medium,Frequent,Jewelry,Black,Medium,No,17151,No
46+,Medium,Expat - Arab,High,Occasional,Automobiles,Silver,High,No,11597,No
36-45,Medium,Expat - Arab,High,Occasional,Automobiles,Black,High,No,35187,No
36-45,High,Expat - Western,Medium,Occasional,Watches,Gold,Low,Yes,44835,No
46+,Medium,Other,Medium,Rare,Real Estate,White,High,No,1059,No
26-35,Low,Expat - Western,Medium,Frequent,Watches,Gold,High,No,36292,No
36-45,Medium,Expat - Western,High,Rare,Automobiles,Gold,High,Yes,21181,No
26-35,Ultra High,Other,Medium,Rare,Real Estate,Bold Colors,Medium,Yes,28235,No
18-25,Low,Emirati,Low,Rare,Real Estate,Gold,High,Yes,29672,No
26-35,Medium,Expat - Western,High,Frequent,Jewelry,Silver,Medium,Yes,2578,No
18-25,Low,Expat - Western,Medium,Rare,Jewelry,Gold,Low,Yes,46366,No
26-35,Medium,Expat - Arab,Low,Occasional,Fashion,Silver,Low,Yes,48295,No
36-45,Low,Other,Medium,Occasional,Jewelry,Black,Medium,Yes,17047,No
36-45,Medium,Expat - Indian,Medium,Occasional,Real Estate,Bold Colors,Medium,Yes,33160,No
18-25,High,Emirati,High,Frequent,Jewelry,Silver,Medium,Yes,34475,Yes
46+,Medium,Emirati,Medium,Rare,Fashion,Gold,Medium,No,25549,No
18-25,Medium,Other,High,Frequent,Automobiles,Bold Colors,High,Yes,6277,No
18-25,High,Expat - Arab,Medium,Rare,Jewelry,Bold Colors,Medium,No,2780,No
26-35,Ultra High,Expat - Arab,Low,Occasional,Real Estate,Silver,Medium,Yes,47579,No
26-35,Low,Other,High,Rare,Automobiles,Silver,Medium,Yes,46913,No
18-25,Medium,Expat - Arab,Medium,Rare,Real Estate,White,High,Yes,15662,No
36-45,Low,Emirati,Medium,Rare,Automobiles,White,High,Yes,32516,No
26-35,Ultra High,Emirati,Medium,Frequent,Real Estate,Bold Colors,High,Yes,33161,No
46+,Ultra High,Expat - Indian,High,Rare,Jewelry,White,Low,Yes,45499,Yes
26-35,Medium,Other,Medium,Rare,Jewelry,Gold,High,Yes,32886,No
26-35,High,Expat - Western,Low,Rare,Fashion,Black,Medium,No,9800,No
46+,Medium,Expat - Western,Low,Frequent,Automobiles,Bold Colors,High,Yes,6439,No
18-25,Medium,Expat - Indian,Medium,Frequent,Fashion,Black,High,No,5307,No
46+,Low,Expat - Indian,High,Frequent,Watches,White,Medium,Yes,3364,No
18-25,High,Expat - Arab,Medium,Rare,Jewelry,Silver,High,No,17568,No
18-25,Low,Expat - Indian,Medium,Occasional,Automobiles,Bold Colors,Low,Yes,39092,No
18-25,High,Expat - Indian,Low,Occasional,Fashion,White,High,No,6483,No
46+,High,Expat - Western,Medium,Occasional,Fashion,Gold,Low,No,1245,Yes
18-25,High,Expat - Arab,High,Rare,Watches,Bold Colors,Low,No,9430,No
36-45,Low,Expat - Indian,Medium,Occasional,Fashion,Bold Colors,Low,Yes,9183,No
46+,Medium,Expat - Indian,High,Occasional,Real Estate,Silver,Medium,No,39692,No
36-45,Low,Expat - Arab,Medium,Occasional,Jewelry,Bold Colors,High,Yes,31086,No
18-25,Medium,Other,Low,Rare,Fashion,Silver,Low,No,33726,No
26-35,Low,Expat - Arab,High,Occasional,Fashion,White,Low,Yes,14901,No
18-25,Ultra High,Expat - Western,Medium,Occasional,Watches,Gold,High,Yes,4907,No
36-45,Medium,Other,High,Rare,Real Estate,Gold,Medium,Yes,34044,No
36-45,Medium,Emirati,High,Frequent,Fashion,Bold Colors,Medium,Yes,29604,No
46+,Medium,Expat - Arab,Low,Occasional,Jewelry,Bold Colors,Low,No,38869,No
